2023-06-25 14:18: Experiment log path in: ../runs/PEMS08/06-25-14h18m_PEMS08_gode_rnn__embed{10}hid{128}hidhid{128}lyrs{3}lr{0.001}wd{0.001}
2023-06-25 14:18: Train Epoch 1: 0/167 Loss: 162.751282
2023-06-25 14:18: Train Epoch 1: 20/167 Loss: 41.491459
2023-06-25 14:19: Train Epoch 1: 40/167 Loss: 28.639830
2023-06-25 14:19: Train Epoch 1: 60/167 Loss: 27.347443
2023-06-25 14:19: Train Epoch 1: 80/167 Loss: 25.926634
2023-06-25 14:19: Train Epoch 1: 100/167 Loss: 24.903364
2023-06-25 14:20: Train Epoch 1: 120/167 Loss: 23.700289
2023-06-25 14:20: Train Epoch 1: 140/167 Loss: 23.944935
2023-06-25 14:20: Train Epoch 1: 160/167 Loss: 25.334568
2023-06-25 14:20: **********Train Epoch 1: averaged Loss: 35.670715
2023-06-25 14:20: **********Val Epoch 1: average Loss: 25.709039
2023-06-25 14:20: *********************************Current best model saved!
2023-06-25 14:20: Train Epoch 2: 0/167 Loss: 24.155735
2023-06-25 14:20: Train Epoch 2: 20/167 Loss: 22.889759
2023-06-25 14:21: Train Epoch 2: 40/167 Loss: 25.954906
2023-06-25 14:21: Train Epoch 2: 60/167 Loss: 26.740530
2023-06-25 14:21: Train Epoch 2: 80/167 Loss: 23.009222
2023-06-25 14:21: Train Epoch 2: 100/167 Loss: 25.087181
2023-06-25 14:21: Train Epoch 2: 120/167 Loss: 24.864803
2023-06-25 14:22: Train Epoch 2: 140/167 Loss: 23.020922
2023-06-25 14:22: Train Epoch 2: 160/167 Loss: 24.375458
2023-06-25 14:22: **********Train Epoch 2: averaged Loss: 24.159884
2023-06-25 14:22: **********Val Epoch 2: average Loss: 24.320389
2023-06-25 14:22: *********************************Current best model saved!
2023-06-25 14:22: Train Epoch 3: 0/167 Loss: 23.452869
2023-06-25 14:22: Train Epoch 3: 20/167 Loss: 22.502798
2023-06-25 14:23: Train Epoch 3: 40/167 Loss: 24.319103
2023-06-25 14:23: Train Epoch 3: 60/167 Loss: 25.699358
2023-06-25 14:23: Train Epoch 3: 80/167 Loss: 22.127460
2023-06-25 14:23: Train Epoch 3: 100/167 Loss: 24.177223
2023-06-25 14:23: Train Epoch 3: 120/167 Loss: 22.061598
